Change date,base rate
Apr-89,12.88
May-89,13.75
Jun-89,13.75
Jul-89,13.75
Aug-89,13.84
Sep-89,13.88
Sep-89,13.75
Oct-89,14.88
Nov-89,14.88
Dec-89,14.88
Jan-90,14.88
Feb-90,14.88
Mar-90,14.88
Apr-90,14.88
May-90,14.88
Jun-90,14.88
Jul-90,14.88
Aug-90,14.88
Sep-90,14.88
Oct-90,13.88
Nov-90,13.88
Dec-90,13.88
Jan-91,13.88
Feb-91,13.38
Feb-91,12.88
Mar-91,12.38
Apr-91,11.88
May-91,11.38
Jun-91,11.38
Jul-91,10.88
Aug-91,10.88
Sep-91,10.38
Oct-91,10.38
Nov-91,10.38
Dec-91,10.38
Jan-92,10.38
Feb-92,10.38
Mar-92,10.38
Apr-92,10.38
May-92,9.88
Jun-92,9.88
Jul-92,9.88
Aug-92,9.88
Sep-92,8.88
Oct-92,7.88
Nov-92,6.88
Dec-92,6.88
Jan-93,5.88
Feb-93,5.88
Mar-93,5.88
Apr-93,5.88
May-93,5.88
Jun-93,5.88
Jul-93,5.88
Aug-93,5.88
Sep-93,5.88
Oct-93,5.88
Nov-93,5.38
Dec-93,5.38
Jan-94,5.38
Feb-94,5.13
Mar-94,5.13
Apr-94,5.13
May-94,5.13
Jun-94,5.13
Jul-94,5.13
Aug-94,5.13
Sep-94,5.63
Oct-94,5.63
Nov-94,5.63
Dec-94,6.13
Jan-95,6.13
Feb-95,6.63
Mar-95,6.63
Apr-95,6.63
May-95,6.63
Jun-95,6.63
Jul-95,6.63
Aug-95,6.63
Sep-95,6.63
Oct-95,6.63
Nov-95,6.63
Dec-95,6.38
Jan-96,6.13
Feb-96,6.13
Mar-96,5.94
Apr-96,5.94
May-96,5.94
Jun-96,5.69
Jul-96,5.69
Aug-96,5.69
Oct-96,5.94
Nov-96,5.94
Dec-96,5.94
Jan-97,5.94
Feb-97,5.94
Mar-97,5.94
Apr-97,5.94
May-97,6.25
Jun-97,6.5
Jul-97,6.75
Aug-97,7
Sep-97,7
Oct-97,7
Nov-97,7.25
Dec-97,7.25
Jan-98,7.25
Feb-98,7.25
Mar-98,7.25
Apr-98,7.25
May-98,7.25
Jun-98,7.5
Jul-98,7.5
Aug-98,7.5
Sep-98,7.5
Oct-98,7.25
Nov-98,6.75
Dec-98,6.25
Jan-99,6
Feb-99,5.5
Mar-99,5.5
Apr-99,5.25
May-99,5.25
Jun-99,5
Jul-99,5
