Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types
2015-02,67070,monthly,190827,6.65,0.09,100.09
2015-03,77669,monthly,191537,6.68,0.37,100.46
2015-04,75240,monthly,193225,5.28,0.88,101.34
2015-05,86144,monthly,195313,5.3,1.08,102.44
2015-06,96979,monthly,196802,5.2,0.76,103.22
2015-07,106216,monthly,200142,5.5,1.7,104.97
2015-08,96533,monthly,201973,5.23,0.92,105.93
2015-09,94554,monthly,202389,5.34,0.21,106.15
2015-10,104451,monthly,202664,5.63,0.14,106.29
2015-11,93854,monthly,204223,6.81,0.77,107.11
2015-12,94397,monthly,204920,6.91,0.34,107.48
2016-01,70959,monthly,205464,7.76,0.27,107.76
2016-02,75907,monthly,205555,7.72,0.04,107.81
2016-03,138124,monthly,207667,8.42,1.03,108.92
2016-04,63854,monthly,208443,7.88,0.37,109.32
2016-05,72174,monthly,210872,7.97,1.17,110.6
2016-06,88475,monthly,212887,8.17,0.96,111.65
2016-07,93197,monthly,215127,7.49,1.05,112.83
2016-08,94407,monthly,215145,6.52,0.01,112.84
2016-09,91720,monthly,214816,6.14,-0.15,112.67
2016-10,85296,monthly,214107,5.65,-0.33,112.29
2016-11,88926,monthly,215113,5.33,0.47,112.82
2016-12,94685,monthly,215500,5.16,0.18,113.03
2017-01,68663,monthly,215243,4.76,-0.12,112.89
2017-02,71432,monthly,215697,4.93,0.21,113.13
2017-03,89388,monthly,215236,3.64,-0.21,112.89
2017-04,75980,monthly,218642,4.89,1.58,114.67
2017-05,83671,monthly,219954,4.31,0.6,115.36
2017-06,101940,monthly,221833,4.2,0.85,116.35
2017-07,92257,monthly,224719,4.46,1.3,117.86
2017-08,98938,monthly,225738,4.92,0.45,118.4
2017-09,94287,monthly,224895,4.69,-0.37,117.95
2017-10,92827,monthly,225092,5.13,0.09,118.06
2017-11,92234,monthly,224453,4.34,-0.28,117.72
2017-12,91613,monthly,225330,4.56,0.39,118.18
2018-01,68243,monthly,224544,4.32,-0.35,117.77
2018-02,69000,monthly,225131,4.37,0.26,118.08
2018-03,81851,monthly,223772,3.97,-0.6,117.36
2018-04,71864,monthly,225910,3.32,0.96,118.49
2018-05,81587,monthly,226834,3.13,0.41,118.97
2018-06,96021,monthly,228355,2.94,0.67,119.77
2018-07,89224,monthly,231187,2.88,1.24,121.25
2018-08,102001,monthly,231898,2.73,0.31,121.63
2018-09,83602,monthly,231454,2.92,-0.19,121.39
2018-10,92636,monthly,231211,2.72,-0.1,121.27
2018-11,99027,monthly,230224,2.57,-0.43,120.75
2018-12,83837,monthly,229729,1.95,-0.22,120.49
2019-01,65597,monthly,228314,1.68,-0.62,119.75
2019-02,67756,monthly,227738,1.16,-0.25,119.44
2019-03,78955,monthly,227104,1.49,-0.28,119.11
2019-04,73561,monthly,228749,1.26,0.72,119.97
2019-05,82426,monthly,229061,0.98,0.14,120.14
2019-06,84287,monthly,230049,0.74,0.43,120.66
2019-07,89176,monthly,232618,0.62,1.12,122
2019-08,95774,monthly,233366,0.63,0.32,122.4
2019-09,84025,monthly,233536,0.9,0.07,122.49
2019-10,90625,monthly,232919,0.74,-0.26,122.16
2019-11,93439,monthly,232096,0.81,-0.35,121.73
2019-12,84958,monthly,231792,0.9,-0.13,121.57
2020-01,68585,monthly,231940,1.59,0.06,121.65
2020-02,67463,monthly,230609,1.26,-0.57,120.95
2020-03,69201,monthly,232684,2.46,0.9,122.04
2020-04,28349,monthly,230318,0.69,-1.02,120.8
2020-05,36243,monthly,231549,1.09,0.53,121.44
2020-06,52820,monthly,234756,2.05,1.38,123.12
2020-07,62538,monthly,236727,1.77,0.84,124.16
2020-08,65140,monthly,239342,2.56,1.1,125.53
2020-09,74502,monthly,241865,3.57,1.05,126.85
2020-10,92712,monthly,244399,4.93,1.05,128.18
2020-11,88641,monthly,247187,6.5,1.14,129.64
2020-12,92962,monthly,249910,7.82,1.1,131.07
2021-01,70145,monthly,251074,8.25,0.47,131.68
2021-02,77149,monthly,251518,9.07,0.18,131.92
2021-03,,monthly,255707,9.89,1.67,134.11
2021-04,,monthly,250772,8.88,-1.93,131.52
